Term	Notes	Russian
card_animal_cage_description		Вмещает 1 животное	
card_animal_cage_name		Клетка для животных	
card_animal_cage_status_0		Строительство клетки для животных	
card_animal_eating_status		Употребление пшеницы	
card_animal_old_name		Старый [name]	
card_animal_pen_status		[name] производит [card]	
card_baby_dragon_description		Волшебный динозавр	
card_baby_dragon_name		Малыш Дракон	
card_barrel_description		Превращает влажные смеси в различные влажные смеси	
card_barrel_name		Бочка	
card_barrel_status_0		Строительство бочки	
card_beer_description		Вода и пшеница. Исконный дуэт.	
